Input,Predicted_Standard_Description,Predicted_CUI,Predicted_CODE,Predicted_SYSTEM,Predicted_SCORE,Semantic Score,Fuzzy Score
rhogam,RhoGAM,C0702053,204300,RxNorm,1,1,1
melatonin 5mg at bedtime,melatonin,C0025219,6711,RxNorm,0.89,0.86,1
lidocaine 5 % topical ointment,lidocaine 0.1 MG/MG Topical Ointment,C0693177,199611,RxNorm,0.99,1,0.96
atorvastatin 10 mg,atorvastatin,C0286651,83367,RxNorm,1,1,1
pediarix),PEDIARIX,C1170508,352877,RxNorm,1,1,1
pediarix vac- vpc,PEDIARIX,C1170508,352877,RxNorm,0.66,0.57,1
meloxicam 7.5 mg oral tablet,meloxicam,C0083381,41493,RxNorm,1,1,1
docusate sodium 100 mg oral capsule,docusate sodium 50 MG Oral Capsule,C0691401,1247759,RxNorm,0.99,1,0.96
ibuprofen 600 mg oral tablet,ibuprofen,C0020740,5640,RxNorm,1,1,1
sodium chloride 0.9 % injection 2 ml,sodium chloride,C0037494,9863,RxNorm,1,1,1
benzonatate (tessalon perles) 100 mg po caps take 1 capsule 3 times daily as needed,benzonatate 100 MG Oral Capsule [Tessalon Perles],C0709910,208365,RxNorm,0.76,0.72,0.94
ezetimibe (zetia) 10 mg po tabs take 1 tab by mouth every other day,ezetimibe 10 MG Oral Tablet [Zetia],C1169927,352304,RxNorm,0.6,0.56,0.78
rosuvastatin (crestor) 5 mg po tabs take 1 tab by mouth every other day,rosuvastatin Oral Tablet [Crestor],C1331112,405880,RxNorm,0.54,0.48,0.77
ezetimibe (zetia) 10 mg po tabs take 1 tab by mouth,ezetimibe 10 MG Oral Tablet [Zetia],C1169927,352304,RxNorm,0.61,0.57,0.78
acetaminophen 325 mg tablet,acetaminophen,C0000970,161,RxNorm,1,1,1
amoxicillin 400 mg/5 ml oral suspension,amoxicillin 750 MG Oral Suspension,C0355935,105151,RxNorm,0.99,1,0.94
topamax 100 mg tablet:: take 1 tablet by oral route every day,Topamax 50 MG Oral Tablet,C0590815,151227,RxNorm,0.76,0.72,0.94
fluconazole 150 mg,fluconazole,C0016277,4450,RxNorm,1,1,1
amoxicillin 875 mg,amoxicillin,C0002645,723,RxNorm,1,1,1
vitamin d3,vitamin D2,C0014695,4018,RxNorm,0.96,1,0.9
topamax 100 mg tablet:: take 1 tablet by oral n route every day,Oral route,C1527415,26643006,SNOMED CT,0.64,0.55,1
vaseline,Vaseline,C0728774,224932,RxNorm,1,1,1
hydrocortisone 2.5 % ointment,hydrocortisone 0.025 MG/MG Topical Ointment,C0352326,103401,RxNorm,0.95,0.96,0.92
ozempic 0.25 mg or 0.5 mg (2 mg/1 5 ml) subcutarieous pen injector inject 0.25 mg every work by subcutaneous round,"OZEMPIC 2 MG per 1.5 ML Pen Injector, 1 MG Dose",C4521384,1991317,RxNorm,0.77,0.74,0.88
lantus cose twice a day,Twice a day,C0585361,229799001,SNOMED CT,0.71,0.64,1
acetaminophen 325 mg tablet instructions: take 2 tablets (650 mg total) by mouth every 4 hours as needed,Every 2 to 4 hours,C0589081,225752000,SNOMED CT,0.48,0.37,0.91
novolog,NovoLog,C0939412,284810,RxNorm,1,1,1
semglee (yfgn) 100 unit/ml solution pen-injector 45 units am and 45 units pm as directed subcutaneous every 12 hours,Semglee 300 UNT per 3 ML Pen Injector,C5241352,2377231,RxNorm,0.65,0.62,0.77
basaglar kwikpen 100 unit/ml solution pen-injector 45 units as directed subcutaneous every 12 hours,Basaglar KwikPen 100 UNT/ML in 3 ML Pen Injector,C4073423,1736863,RxNorm,0.76,0.72,0.89
insulin glargine 100 unit/ml solution pen-injector 20 units am and 35 pm at night as directed subcutaneous twice daily,insulin glargine 300 UNT per 3 ML Pen Injector,C3888222,847230,RxNorm,0.66,0.61,0.82
prevnar 13),Prevnar,C0876134,798236,RxNorm,1,1,1
ibuprofen (motrin) 20 mg/ml liquid 146 mg (146 mg oral,ibuprofen Oral Liquid Product,C3210714,1156276,RxNorm,0.84,0.84,0.84
ibuprofen (motrin) 20 mg/ml,ibuprofen Oral Tablet [Motrin],C0306865,93358,RxNorm,0.96,1,0.78
motrin 20mg/ml,Motrin 200 MG Oral Tablet,C0697656,201126,RxNorm,0.87,1,0.67
prednisolone daily,prednisolone,C0032950,8638,RxNorm,0.8,0.67,1
polymyxin b,polymyxin B,C0032535,8536,RxNorm,1,1,1
topiramate 50 mg once daily,Once daily,C0556983,229797004,SNOMED CT,0.73,0.66,1
flovent hfa 110 mcg/actuation aerosol inhaler,"Flovent HFA 110 MCG/ACTUAT Metered Dose Inhaler, 120 ACTUAT",C1966478,896001,RxNorm,0.73,0.72,0.79
tretinoin (retin-a) 0.025 % cream:: sig: apply 1 application topically at bedtime,Retin-A 0.025 % Topical Cream,C0709860,208328,RxNorm,0.67,0.63,0.83
hyoscyamine (anaspaz,hyoscyamine sulfate 0.125 MG [Anaspaz],C2954504,1048055,RxNorm,0.94,0.89,1
depo-provera,Depo-Provera,C0699700,202886,RxNorm,1,1,1
humalog 2 times a week,4 times a week,C0585297,307445009,SNOMED CT,0.7,0.64,0.92
scopolamine 1 mg,scopolamine,C0036442,9601,RxNorm,1,1,1
boostrix vaccination,Vaccination,C0042196,33879002,SNOMED CT,0.89,0.82,1
ferrous sulfate 325 mg po daily,ferrous sulfate,C0060282,24947,RxNorm,0.68,0.61,1
ketorolac (toradol) injection 15 mg,ketorolac Oral Tablet [Toradol],C1243153,369148,RxNorm,0.95,1,0.74
doxycycline 100mg bid,doxycycline,C0013090,3640,RxNorm,0.83,0.78,1
estrace 0.01% (0.1 mg/gram) vaginal cream; at bedtime twice weekly,Estrace 0.1 MG/ML Vaginal Cream,C0706588,890918,RxNorm,0.72,0.66,0.95
depo provera 150mg,Depo-Provera,C0699700,202886,RxNorm,1,1,1
tylenol 325 mg oral capsule,Tylenol 325 MG Oral Capsule,C4073803,1738139,RxNorm,1,1,1
penicillin g potassium,penicillin G potassium,C0700462,203133,RxNorm,1,1,1
benadryl (diphenhydramine,diphenhydramine Oral Solution [Benadryl],C1238064,364116,RxNorm,0.98,0.97,1
sodium chloride 0.9%,sodium chloride,C0037494,9863,RxNorm,1,1,1
shingrix,Shingrix,C4530100,1986826,RxNorm,1,1,1
polyethylene glycol 3350 (polyethylene glycol 3350 oral powder,polyethylene glycol 3350 Oral Powder Product,C4307273,1870357,RxNorm,0.96,0.96,1
rotateq) rvs,RotaTeq,C1528013,496892,RxNorm,0.84,0.73,1
acetaminophen prn,acetaminophen,C0000970,161,RxNorm,0.85,0.74,1
cetirizine (zyrtec) 1 mg/ml solution:: 5ig: take 2.5 ml by mouth one time a day,cetirizine Oral Solution [Zyrtec],C1237850,363905,RxNorm,0.64,0.58,0.91
varivax 0.5ml vaccine,VARIVAX vaccine 0.5 ML Injection,C1623097,1292459,RxNorm,0.98,1,0.89
asmanex on flexhaler twice a day,Twice a day,C0585361,229799001,SNOMED CT,0.62,0.52,1
avastin injection,Avastin,C1135130,337521,RxNorm,1,1,1
ofloxacin bid,ofloxacin,C0028902,7623,RxNorm,0.89,0.82,1
rv1 (rotarix,Rotarix,C1528012,493191,RxNorm,0.92,0.86,1
"olopatadine ophthalmic (1 drop, affected eye(s), bid, 5 ml",olopatadine 1 MG/ML Ophthalmic Solution,C0979113,1111339,RxNorm,0.67,0.63,0.82
 tessalon perles 100 mg po caps take 1 capsule 3 times daily as needed,Tessalon Perles 100 MG Oral Capsule,C0709910,208365,RxNorm,0.7,0.65,0.92
azithromycin (zithromax z-pak) 250 mg po tabs sig: take 2 tabs by mouth on day 1,{6 (azithromycin 250 MG Oral Tablet [Zithromax]) } Pack [Z-PAK],C1878682,750149,RxNorm,0.6,0.55,0.79
jardiance 10 mg tablet take 1 tablet(s) every day by oral route,Jardiance 25 MG Oral Tablet,C3848127,1545668,RxNorm,0.99,1,0.94
lantus solestar u-100 insulin 100 unit/ml (3 ml) subcutaneous pen,3 ML insulin glargine 100 UNT/ML Pen Injector [Lantus],C2683584,847232,RxNorm,0.69,0.68,0.74
naproxen 500 mg tablet take 1 tablet(s) fwice a day by oral route,naproxen,C0027396,7258,RxNorm,0.74,0.67,1
compazine,Compazine,C0701017,203546,RxNorm,1,1,1
qvar redihaler 80 mcg/actuation hfa breath activated aerosol,Aerosol,C1112870,324049,RxNorm,0.67,0.58,1
iron daily,iron,C0302583,90176,RxNorm,0.8,0.67,1
"fluticasone propionate 50 mcg/actuation nasal spray,suspension: levalbuterol hfa 45 mcg/actuation aerosol inhaler:: inhale 2 spray by intranasal route every day",fluticasone propionate 110 MCG/ACTUAT Metered Dose Inhaler,C1613512,1360333,RxNorm,0.61,0.58,0.74
"ventolin hfa 90 mcg/inh inhalation aerosol 2 puff, inhalation, q4h",Ventavis 10 MCG/ML Inhalation Solution,C1612414,582595,RxNorm,0.66,0.67,0.62
claritin,Claritin,C0701055,203576,RxNorm,1,1,1
nose drops,Nose Drops,C0991524,316958,RxNorm,1,1,1
maxalt,Maxalt 5 MG Oral Tablet,C0716344,213321,RxNorm,1,1,1
chlorhexidine (hibiclens) 4 % external liquid,chlorhexidine Oral Liquid Product,C3208067,1153586,RxNorm,0.74,0.74,0.75
ibuprofen 800 mg tablet:: sig: take 800 mg by mouth every 6 (six) hours as needed,Every 3 hours,C0585323,225753005,SNOMED CT,0.41,0.28,0.92
amoxil,Amoxil,C0700524,203169,RxNorm,1,1,1
daptacel vaccine,DAPTACEL vaccine 0.5 ML Injection,C1169838,1300310,RxNorm,1,1,1
engerix-b,Engerix-B,C0116078,49610,RxNorm,1,1,1
haemophilus influenzae type b,Haemophilus influenzae type b,C0121772,50937,RxNorm,1,1,1
pedvaxhib,PedvaxHIB,C0722529,798448,RxNorm,1,1,1
budesonide (pulmicort) 0.5 mg/2ml nebulizer suspension use 2 ml via nebulizer daily as needed,Budesonide 500 microgram/mL suspension for nebulizer,C0794777,1255203009,SNOMED CT,0.76,0.76,0.79
vfc-vaxelis,Vaxelis,C4506397,2109616,RxNorm,1,1,1
vfc-rotarix (rotavirus) dose,Rotavirus,C0035870,417542000,SNOMED CT,0.91,0.89,1
deltasone 20mg tab,K-Tab,C0306522,93028,RxNorm,0.67,0.65,0.75
lantus 10 units nightly,Lantus,C0876064,261551,RxNorm,0.56,0.45,1
metformin 1000 mg twice daily,Twice daily,C0585361,229799001,SNOMED CT,0.75,0.69,1
mycoplasma pneumoniae,Mycoplasma pneumoniae,C0026941,1360621,RxNorm,1,1,1
oxytocin (pitocin) 30 units in 500 ml 0.9% sodium chloride infusion,Sodium chloride 4.5 mg/mL solution for infusion,C5567388,1172477000,SNOMED CT,0.7,0.69,0.73
havrix vpc,Havrix,C0700881,203439,RxNorm,0.84,0.73,1
"infanrix (dtaP) 0.5 mL IM – contains diphtheria, tetanus, and acellular pertussis components (FHA, pertactin, pertussis toxoid)",DTaP - diphtheria + tetanus + acellular pertussis immunization,C5397478,5.72E+14,SNOMED CT,0.73,0.69,0.87
diphenhydramine,diphenhydramine,C0012522,3498,RxNorm,1,1,1
